Astrocyte	CerebGranule	Cholin	DentateGranule	Dopaminergic	Gluta	Golgi	Hypocretinergic	Microglia	MotorCholin	Oligo	Purkinje	Serotonergic	Spiny	Th_positive_LC
Slc7a10	Cbln3	Lhx8	Dsp	Slc6a3	Grp	Sgcg	Avpr1a	Crybb1	Prph	Ppp1r14a	Smpx	Slc6a4	Pde7b	Phox2a
Cldn10		Crabp2	Lct	Foxa2			Hcrt	Cttnbp2nl	Uts2		Slc1a6	Fev	Gpr88	Slc6a2
AI464131							Cckar	Pon3	Calcb		Ptprr	Gata3		Eya2
Gjb6							Nnat	C3ar1	Spp1		Ppp1r17			Dbh
								Fgd2	Kcnj14					Gal
								Tlr7						
								Ccl2						
								Cd86						
								Trem2						
								Il1a						
								Ccl4						
								Ccr5						
								Pla2g15						
								Gpr34						
								Entpd1						
								F11r						
								P2ry6						
								Tgfbr2						
								Pros1						
								Abcc3						
								Lair1						
								Il10ra						
								Olfml3						
								Fcrls						
								Lag3						
								Stab1						
								Ang						
								Havcr2						
